county	schoolName
10	43,106,107,108,363,452,527,722,746,747,811,823,892,1026,1223,1284,1601,1602,1603,1683,1687,2072,2073,2180,2267,2268,2287,2395,2521
11	145,217,232,313,314,321,391,546,589,698,798,940,1152,1378,1411,1908,2101,2454,2480
12	226,227,1004
13	36,71,72,89,93,128,141,160,187,188,206,209,210,218,286,351,359,365,372,394,406,422,425,459,464,466,476,483,486,526,557,561,576,584,594,595,600,603,604,621,628,649,696,725,733,738,760,781,784,788,792,794,796,806,809,830,890,898,899,928,955,981,1013,1015,1030,1031,1080,1147,1156,1193,1225,1244,1246,1257,1293,1318,1381,1382,1383,1469,1480,1498,1499,1525,1541,1546,1552,1588,1589,1591,1592,1613,1614,1618,1648,1651,1659,1666,1690,1704,1715,1725,1728,1760,1761,1770,1771,1794,1802,1810,1812,1813,1821,1850,1863,1870,1914,1917,1928,1944,1953,1980,2030,2031,2047,2055,2065,2070,2092,2145,2152,2153,2154,2160,2205,2226,2228,2230,2247,2256,2318,2319,2337,2351,2354,2363,2364,2365,2386,2393,2399,2401,2402,2415,2445,2456,2462,2520
14	115,261,266,428,490,521,619,918,919,921,1074,1079,1096,1101,1115,1128,1168,1240,1241,1242,1258,1265,1401,1411,1502,1679,1716,1764,1917,2498
15	73,343,625,1201,1321,1477,2295
16	4,6,9,11,18,19,38,40,51,54,55,56,57,59,60,61,62,63,65,66,67,70,78,80,83,84,95,96,98,105,109,111,112,118,120,123,133,144,147,153,161,163,164,167,174,192,199,201,208,219,223,224,228,233,245,249,254,265,267,276,278,290,292,295,297,303,311,316,328,333,335,350,354,358,360,366,367,368,371,373,374,386,387,388,392,398,399,400,407,409,415,424,426,437,438,462,467,468,480,481,493,496,499,505,516,523,524,531,533,535,536,539,543,575,577,579,580,582,590,597,598,602,609,610,618,637,644,647,655,669,672,673,674,675,677,681,684,685,687,688,699,706,709,721,725,734,745,750,754,761,763,776,783,784,787,807,819,823,828,839,842,849,850,853,856,857,858,861,866,870,875,876,880,882,884,886,892,895,905,915,930,936,943,947,948,954,961,965,971,983,989,997,998,999,1000,1008,1012,1013,1016,1018,1019,1020,1023,1030,1042,1066,1080,1081,1083,1085,1086,1091,1094,1096,1106,1111,1112,1115,1125,1126,1132,1133,1134,1141,1150,1151,1158,1170,1174,1175,1177,1181,1182,1184,1185,1186,1187,1189,1190,1197,1205,1208,1215,1216,1221,1222,1234,1235,1248,1250,1252,1255,1263,1265,1268,1271,1272,1288,1290,1291,1293,1294,1300,1306,1308,1311,1313,1316,1320,1324,1325,1326,1331,1332,1333,1335,1336,1339,1344,1347,1358,1363,1369,1380,1399,1400,1401,1407,1408,1410,1421,1432,1437,1438,1445,1454,1458,1460,1461,1462,1471,1475,1478,1479,1482,1503,1506,1510,1512,1514,1518,1531,1533,1534,1543,1562,1563,1569,1571,1579,1584,1586,1595,1596,1605,1609,1610,1616,1620,1625,1639,1644,1645,1648,1656,1661,1666,1673,1681,1682,1691,1701,1702,1707,1708,1718,1720,1723,1736,1754,1769,1781,1783,1797,1799,1803,1805,1806,1817,1819,1823,1828,1833,1834,1845,1847,1854,1861,1867,1869,1873,1875,1876,1878,1885,1886,1893,1903,1915,1917,1919,1921,1926,1930,1931,1940,1941,1942,1945,1947,1959,1974,1975,1976,1979,1990,1993,1996,2001,2005,2013,2021,2022,2026,2032,2053,2054,2062,2063,2064,2067,2075,2080,2082,2086,2088,2089,2090,2091,2093,2096,2097,2100,2103,2108,2112,2117,2118,2129,2137,2139,2140,2141,2143,2149,2151,2165,2167,2173,2187,2195,2196,2199,2200,2217,2221,2241,2242,2244,2246,2248,2254,2263,2265,2273,2275,2292,2304,2306,2312,2313,2321,2325,2326,2329,2336,2339,2347,2357,2384,2387,2389,2394,2395,2399,2405,2406,2409,2411,2421,2428,2429,2432,2434,2435,2436,2439,2440,2441,2444,2452,2455,2457,2459,2461,2462,2469,2474,2479,2484,2488,2499,2503,2504
17	202,391,522,635,1457,1838,1914,2147,2405,2481
18	16,101,158,240,273,456,504,550,652,863,913,1065,1200,1220,1323,1334,1364,1398,1472,1474,1561,1612,1647,1652,1708,1844,1852,1935,1972,1988,1994,2049,2115,2168,2177,2207,2209,2227,2311,2370,2430,2471
19	1395,1396,1501
