city	schoolName
23	161,295,839,1012,1086,1115,1518,1797,1819,2241,2244,2384,2452
24	311
25	145,232,313,314,391,589,698,1152,1908,2454
26	217,321,798
27	346,348
28	354
29	4,254,350,577,876,1234,1584,1616,2165,2263,2432,2488
30	214,402,420,421,430,732,1006,1038,1275,1285,1385,1404,1441,1559,1611,1776,1927,2040,2046,2060
31	1457,1914,2147,2481
32	399
33	77,114,280,282,369,375,385,442,443,444,446,447,449,450,455,509,607,793,823,826,841,1080,1372,1484,1500,1841,1842,1858,2061,2213,2408,2500
34	457
35	470,471,837,1070
36	303,371,480,481,543,575,675,685,699,1151,1222,1432,1438,1817,1917,1919,1926,2254,2395,2474
37	151,325,436,485,570,664,668,758,983,995,1286,1446,1508,1533,1538,1655,1804,1960,2029,2036,2069,2176,2186,2427,2502,2505,2508,2509
38	154,460,500,713,723,929,945,1161,1270,1424,1729,1784,2084,2340,2374,2435,2479,2496
39	174,199,367,415,505,849,856,1215,1460,2063,2086
40	1,432,529,558,780,1137,1254,1677
41	556
42	467,597,598,819,828,905,1648,1876,2143,2195,2292,2387,2389,2462
43	546,1378,1411,2101,2480
44	669,745,1534
45	109,374,673,674,1867
46	43,363,527,722,892,2395,2521
47	746,747
48	1712
49	506,718,774,846,924,1071,1307,1420,1772,2210,2362
50	634,1167,1918
51	268,274,309,319,320,429,616,786,795,816,851,860,934,1093,1100,1103,1104,1110,1130,1487,1488,1489,1490,1619,1654,1713,1726,1902,2167,2251,2259,2353,2391,2397,2450,2515
52	19,25,129,150,152,159,211,223,288,301,323,339,355,356,370,379,448,466,488,489,541,553,567,638,646,648,650,659,702,703,726,728,741,752,770,771,772,802,803,843,847,891,915,922,931,961,969,996,1049,1061,1068,1073,1080,1119,1120,1148,1155,1165,1169,1226,1265,1320,1359,1361,1394,1430,1434,1438,1440,1470,1527,1533,1542,1587,1590,1721,1722,1738,1740,1791,1820,1891,1904,1910,1911,1955,2019,2030,2031,2050,2077,2142,2184,2187,2215,2220,2223,2257,2274,2328,2345,2349,2352,2400,2405,2458,2479,2487,2490
53	10,189,472,532,744,812,813,968,1191,1194,1198,1373,1580,1684,1836,1864,1896,1923,2181,2261,2271,2305,2495
54	3,242,271,276,305,439,586,614,620,697,720,727,743,820,821,831,844,992,1054,1116,1127,1204,1209,1251,1273,1322,1384,1402,1459,1526,1643,1688,1715,1727,1825,1887,2009,2249,2372,2493
55	1141,2117
56	9,96,201,388,462,468,516,533,609,677,857,861,961,1013,1096,1111,1112,1399,1682,1805,2242,2244,2246,2321,2336,2499
57	267,524,858,866,1177,1996,2026,2141,2196,2429,2461
58	521,619,918,919,921,1079,1101,1128,1265,1411,1502,1764,1917,2498
59	536,936,1133,1170,1736
60	49,102,251,260,262,292,299,465,491,626,629,641,642,676,739,852,927,937,949,978,986,1028,1232,1295,1301,1415,1539,1696,1708,1946,1956,1986,2017,2099,2159,2171,2266,2285,2486
61	23,451,648,719,1021,1022,1050,1105,1118,1129,1389,1642,1818
62	418,1024
63	582,842
64	70,120
65	1043,1532
66	39,116,184,244,279,337,460,514,525,530,551,623,636,657,901,974,1047,1048,1082,1206,1448,1607,1608,1621,1668,1737,1773,1786,1788,1830,2010,2063,2095,2111,2157,2161,2212,2276,2290,2291,2331,2360,2426,2427,2492,2493
67	110,1061,1062
68	397,555,1163,1164,1789,2003
69	54,56,57,59,60,61,62,63,65,66,67,144,147,290,965,1421,2248,2329,2459
70	632,670,1178,1650,1834,2085
71	111,637,706,886,943,1185,1186,1311
72	1100,2376
73	316,734,1023,1187,1216,1562,2063,2103,2187,2221,2469,2504
74	1529,1583,2114
75	875,1000,1008,1208,1339,1344,1503,1873
76	2321
77	913,1852,1972,2209
78	854,1264,1741,2280,2281
79	81,97,121,122,627,690,885,1060,1088,1140,1228,1247,1277,1419,1676,1826,2187,2348,2453
80	1278
81	40,709,1288
82	19,167,223,276,292,297,358,523,590,647,687,721,783,892,930,948,971,1019,1081,1126,1158,1197,1265,1272,1293,1320,1363,1438,1475,1543,1639,1903,2080,2118,2149,2405,2435,2441
83	392,947,1016,1265,1271,1331,1332,1333,1335,1336,1401,1506,1723,1921,2357,2395,2428,2439,2479
84	522
85	1381,1382,1383
86	1045,1055,1309,1388,1389,1391
87	42,977,1112,1121,1213,1416,1522
88	717,967,1463,1700
