district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude
Menifee Union School District,Callie Kirkpatrick Elementary,"28800 Reviere Drive, Menifee 92584",NA,NA,NA,exempt,Menifee,Riverside County,33.681817,-117.155472
Menifee Union School District,Chester W. Morrison Elementary,"30250 Bradley Road, Menifee 92584",NA,NA,NA,exempt,Menifee,Riverside County,33.6838565190089,-117.188503579137
Menifee Union School District,Evans Ranch Elementary,"30465 Evans Road, Menifee 92584",NA,NA,NA,exempt,Menifee,Riverside County,33.67825595,-117.199272292794
Menifee Union School District,Freedom Crest Elementary,"29282 Menifee Road, Menifee 92584",NA,NA,NA,exempt,Menifee,Riverside County,33.6985335,-117.1545276
Menifee Union School District,Hans Christensen Middle,27625 Sherman Road Menifee 92586,NA,NA,NA,exempt,Menifee,Riverside County,33.6559945,-117.1800391
Menifee Union School District,Harvest Hill S.T.E.A.M. Academy,"31600 Pat Road, Menifee",NA,NA,NA,exempt,,,,
Menifee Union School District,Herk Bouris Elementary,"34257 Kalanchoe Rd, Lake Elsinore, CA 92532",NA,NA,NA,exempt,,Riverside County,33.6624598,-117.2348915
Menifee Union School District,Menifee Valley Middle,"26255 Garbani Road, Menifee 92584",NA,NA,NA,exempt,Menifee,Riverside County,33.6559187766757,-117.20252850451
Menifee Union School District,Oak Meadows Elementary,"28600 Poinsettia Street, Menifee 92563",NA,NA,NA,exempt,,,,
Menifee Union School District,Quail Valley Elementary,"23757 Canyon Heights Drive, Menifee 92587",NA,NA,NA,exempt,Menifee,Riverside County,33.6981234,-117.2432455
Menifee Union School District,Ridgemoor Elementary,"25455 Ridgemoor Road, Menifee CA 92586",NA,NA,NA,exempt,Menifee,Riverside County,33.6990532,-117.215317590929
Menifee Union School District,Southshore Elementary,"30975 Southshore Drive, Menifee  CA 92584",NA,NA,NA,exempt,Menifee,Riverside County,33.6725284,-117.1453831
