district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude
Lincoln Unified,Colonial Heights,8135 Balboa Avenue Stockton CA 95209-2920,NA,NA,NA,not tested,Stockton,San Joaquin County,38.0233715106383,-121.335231234043
Lincoln Unified,John McCandless Charter,1700 Porter Way Stockton CA 95207-4129,NA,NA,NA,not tested,Stockton,San Joaquin County,38.00260515,-121.331241160069
Lincoln Unified,Tully C. Knoles,6511 Clarksburg Place Stockton CA 95207-3222,NA,NA,NA,not tested,Stockton,San Joaquin County,38.00280981954,-121.344412772266
Lincoln Unified,Village Oaks High School,1900 West Swain Stockton CA 95207-3439,NA,NA,NA,not tested,Stockton,San Joaquin County,38.0007296702058,-121.333614188091
