district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude
Western Placer Unified,First Street,1400 First Street Lincoln CA 95648-1688,NA,NA,FALSE,tested,,,,
Western Placer Unified,Foskett Ranch Elementary,1561 Joiner Parkway Lincoln CA 95648-2969,NA,NA,NA,not tested,Lincoln,Placer County,38.9068283,-121.3175385
Western Placer Unified,Glen Edwards Middle,204 L Street Lincoln CA 95648-1674,NA,NA,FALSE,tested,Lincoln,Placer County,38.8890128571168,-121.299255
Western Placer Unified,Horizon Charter,2800 Nicolaus Rd Suite 100 Lincoln CA 95648-1757,NA,NA,FALSE,tested,,,,
Western Placer Unified,Lincoln Crossing Elementary,635 Groveland Lane Lincoln CA 95648-8013,NA,NA,FALSE,tested,Lincoln,Placer County,38.8782131355809,-121.304988705639
Western Placer Unified,Phoenix High (Continuation),870 J Street Lincoln CA 95648-1757,NA,NA,FALSE,tested,Lincoln,Placer County,38.8962611428571,-121.296731857143
Western Placer Unified,Sheridan,4730 H Street Sheridan CA 95681-0268,NA,NA,NA,not tested,,Placer County,38.9825521302133,-121.373576499757
Western Placer Unified,Twelve Bridges Elementary,2450 Eastridge Drive Lincoln CA 95648-8282,NA,NA,FALSE,tested,Lincoln,Placer County,38.8462993609775,-121.268643319438
Western Placer Unified,Twelve Bridges Middle,770 Westview Drive Lincoln CA 95648-7823,NA,NA,FALSE,tested,Lincoln,Placer County,38.8428995,-121.2856328
