district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude
Laguna Beach Unified School District,El Morro Elementary,"8681 N Coast Hwy, Laguna Beach, CA 92651",NA,NA,NA,exempt,Laguna Beach,Orange County,33.5481001,-117.7993626
Laguna Beach Unified School District,Laguna Beach High School,"625 Park Ave, Laguna Beach, CA 92651",NA,NA,NA,exempt,Laguna Beach,Orange County,33.5403719,-117.776068823868
Laguna Beach Unified School District,Thurston Middle School,"2100 Park Ave, Laguna Beach, CA 92651",NA,NA,NA,exempt,Laguna Beach,Orange County,33.549112513952,-117.76416603634
Laguna Beach Unified School District,Top of the World Elementary,"21601 Treetop Ln, Laguna Beach, CA 92651",NA,NA,NA,exempt,Laguna Beach,Orange County,33.5451405,-117.751971
