district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude
Natomas Unified,American Lakes Elementary,2800 Stonecreek Drive Sacramento CA 95833-1634,NA,NA,FALSE,tested,Sacramento,Sacramento County,38.618274,-121.493922
Natomas Unified,Bannon Creek Elementary,2775 Millcreek Drive Sacramento CA 95833-1856,NA,NA,FALSE,tested,Sacramento,Sacramento County,38.6150385426855,-121.502255465223
Natomas Unified,Jefferson Elementary,2001 Pebblewood Sacramento CA 95833-1400,NA,NA,FALSE,tested,Sacramento,Sacramento County,38.620666,-121.508404
Natomas Unified,Natomas Gateways Middle,3301 Fong Ranch Road Sacramento CA 95834-1719,NA,NA,NA,not tested,Sacramento,Sacramento County,38.627566,-121.493849
Natomas Unified,Natomas Pacific Pathways Prep,3700 Del Paso Road Sacramento CA 95834-9606,NA,NA,NA,not tested,Sacramento,Sacramento County,38.655539,-121.550644
Natomas Unified,Paso Verde School,3800 Del Paso Rd Sacramento CA 95835,NA,NA,FALSE,tested,Sacramento,Sacramento County,38.6559007,-121.5335866
Natomas Unified,Westlake Charter Middle,1985 Pebblewood Dr Sacramento CA 95833,NA,NA,NA,not tested,Sacramento,Sacramento County,38.6213511755763,-121.503594319776
