district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude
Hughson Unified,Hughson Elementary,7201 East Whitmore Avenue Hughson CA 95326-0189,NA,NA,NA,not tested,NA,Stanislaus County,37.594844,-120.862994
Newman-Crows Landing Unified,Hunt Elementary,907 R Street Newman CA 95360-1124,6.49,ppb,TRUE,tested,NA,Stanislaus County,37.3195973,-121.029849370919
Newman-Crows Landing Unified,Hurd Barrington Elementary,838 Eucalyptus Avenue Newman CA 95360-9503,NA,NA,FALSE,tested,NA,Stanislaus County,37.32307225,-121.014481934676
Modesto City High,James C. Enochs High,3201 Sylvan Avenue Modesto CA 95355-7893,NA,NA,NA,not tested,Modesto,Stanislaus County,37.689071,-120.935069
Stanislaus County Office of Education,John B. Allard,350 North Kilroy Road Turlock CA 95380-9516,NA,NA,NA,not tested,Turlock,Stanislaus County,37.496501,-120.876183
Stanislaus Union Elementary,Josephine Chrysler Elementary,2818 Conant Avenue Modesto CA 95350-1752,NA,NA,NA,not tested,Modesto,Stanislaus County,37.6810651818182,-121.040388909091
Turlock Unified,Julien Elementary,1924 East Canal Drive Turlock CA 95380-4222,7.48,ppb,TRUE,tested,Turlock,Stanislaus County,37.5000412525253,-120.826862484848
Keyes Union,Keyes Elementary,4400 Maud Avenue Keyes CA 95328,5.6,ppb,TRUE,tested,NA,Stanislaus County,37.553416,-120.909543
Knights Ferry Elementary,Knights Ferry Elementary,12726 Dent Street Knights Ferry CA 95361-2040,NA,NA,NA,not tested,NA,Stanislaus County,37.8201399183673,-120.672926326531
Modesto City Elementary,La Loma Junior High,1800 Encina Avenue Modesto CA 95354-1598,NA,NA,NA,not tested,Modesto,Stanislaus County,37.645162,-120.966245
Ceres Unified,La Rosa Elementary,2800 Eastgate Boulevard Ceres CA 95307-5053,NA,NA,FALSE,tested,Ceres,Stanislaus County,37.5944288,-120.9267669
Patterson Joint Unified,Las Palmas Elementary,624 West Las Palmas Avenue Patterson CA 95363-2697,NA,NA,NA,not tested,NA,Stanislaus County,37.4696331632653,-121.134064530612
Ceres Unified,Lucas Elementary,3500 Rose Avenue Ceres CA 95307-3865,NA,NA,FALSE,tested,Ceres,Stanislaus County,37.597625,-120.943283
Waterford Unified,Lucille Whitehead Intermediate,119 North Reinway Avenue Waterford CA 95386-9211,NA,NA,FALSE,tested,Waterford,Stanislaus County,37.641958,-120.773979
Oakdale Joint Unified,Magnolia Elementary,739 Magnolia Street Oakdale CA 95361-9625,16.35,ppb,TRUE,tested,Oakdale,Stanislaus County,37.7671983892618,-120.855988194631
Sylvan Union Elementary,Mary Ann Sanders Elementary,3101 Fine Avenue Modesto CA 95355-9702,NA,NA,FALSE,tested,Modesto,Stanislaus County,37.6781096,-120.9259839
Stanislaus Union Elementary,Mary Lou Dieterich Elementary,2412 Warm Springs Drive Modesto CA 95350-9399,NA,NA,NA,not tested,Modesto,Stanislaus County,37.698821530303,-121.038758484848
Salida Union Elementary,Mildred Perkins Elementary,3920 Blue Bird Dr. Modesto CA 95356-0254,NA,NA,FALSE,tested,Modesto,Stanislaus County,37.696395,-121.058545
Modesto City High,Modesto High,18 H Street Modesto CA 95351-3203,NA,NA,NA,not tested,Modesto,Stanislaus County,37.631473,-121.007126333333
