district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude
Cotati-Rohnert Park Unified,Lawrence E. Jones Middle,5164 Snyder Lane Rohnert Park CA 94928,NA,NA,NA,not tested,Rohnert Park,Sonoma County,38.3515977906322,-122.685450632059
Cotati-Rohnert Park Unified,Rancho Cotate High,5450 Snyder Lane Rohnert Park CA 94928-2906,NA,NA,NA,not tested,Rohnert Park,Sonoma County,38.3423384982918,-122.685586137046
Cotati-Rohnert Park Unified,Technology High,1801 East Cotati Avenue Rohnert Park CA 94928-3613,NA,NA,NA,not tested,Rohnert Park,Sonoma County,38.33908395,-122.67538218386
