district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude
Sutter County Office of Education,Sutter County Adult,1699 Sierra Avenue Yuba City CA 95993-8982,NA,NA,NA,not tested,Yuba City,Sutter County,39.140463,-121.648669
Yuba City Unified,Sutter County Superintendent,970 Klamath Yuba City CA 95993,NA,NA,NA,not tested,Yuba City,Sutter County,39.1397708911588,-121.651787495456
Yuba City Unified,Twin Rivers Charter,840 Cooper Avenue Yuba City CA 95991-3849,NA,NA,NA,not tested,Yuba City,Sutter County,39.1380695252414,-121.623716938328
